1,"00:01:04,773","00:01:07,608",OLD BILBO: My dear Frodo:,0
2,"00:01:13,156","00:01:37,012","You asked me once......if I had told you everything there was to know about my adventures.And while I can honestly say I have told you the truth......I may not have told you all of it.I am old now, Frodo.",1
7,"00:01:38,515","00:01:41,266",I'm not the same Hobbit I once was.,0
8,"00:01:44,562","00:01:51,902",I think it is time for you to know......what really happened.,1
10,"00:01:53,446","00:01:56,865",lt began long ago...,0
11,"00:01:57,992","00:02:36,780",...in a land far away to the east......the like of which you will not find in the world today.There was the city of Dale.Its markets known far and wide.Full of the bounties of vine and vale.Peaceful and prosperous.For this city lay before the doors of the greatest kingdom in Middle-earth:,1
18,"00:02:37,448","00:02:38,532",Erebor.,0
19,"00:02:39,826","00:02:44,037","Stronghold of Thror, King Under the Mountain.",0
20,"00:02:44,205","00:02:46,999",Mightiest of the Dwarf Lords.,0
21,"00:02:48,084","00:02:50,794",Thror ruled with utter surety...,0
22,"00:02:50,962","00:03:35,505","...never doubting his house would endure......for his line lay secure in the lives of his son......and grandson.Ah, Frodo. Erebor.Built deep within the mountain itself......the beauty of this fortress city was legend.Its wealth lay in the earth......in precious gems hewn from rock......and in great seams of gold......running like rivers through stone.The skill of the Dwarves was unequaled......fashioning objects of great beauty......out of diamond, emerald, ruby and sapphire.",1
35,"00:03:36,299","00:03:40,093","Ever they delved deeper, down into the dark.",0
36,"00:03:40,845","00:03:55,651",And that is where they found it.The Heart of the Mountain.The Arkenstone.,1
39,"00:03:56,486","00:03:59,321","Thror named it ""The King's Jewel.""",0
40,"00:03:59,489","00:04:11,667","He took it as a sign, a sign that his right to rule was divine.All would pay homage to him.Even the great Elven King, Thranduil.",1
43,"00:04:12,752","00:04:16,880",But the years of peace and plenty were not to last.,0
44,"00:04:17,799","00:04:23,845",Slowly the days turned sour......and the watchful nights closed in.,1
46,"00:04:31,271","00:04:35,691",Thror's love of gold had grown too fierce.,0
47,"00:04:37,193","00:04:41,071",A sickness had begun to grow within him.,1
48,"00:04:41,990","00:04:44,616",lt was a sickness of the mind.,0
49,"00:04:47,370","00:05:13,061","And where sickness thrives......bad things will follow.The first they heard was a noise like a hurricane......coming down from the North.The pines on the mountain creaked and cracked in the hot, dry wind.",1
54,"00:05:13,229","00:05:14,563",[GRUNTS],0
55,"00:05:14,772","00:05:17,065",[WIND WHISTLING],0
56,"00:05:17,233","00:05:20,068","Balin, sound the alarm.",0
57,"00:05:20,611","00:05:22,029",[BALIN GRUNTS],0
58,"00:05:22,488","00:05:24,364",Call out the guard. Do it now!,0
59,"00:05:24,532","00:05:25,824",BALIN: What is it?,0
60,"00:05:25,992","00:05:27,576",Dragon.,0
61,"00:05:28,202","00:05:31,121",Dragon!,0
62,"00:05:32,623","00:05:34,666",He was a firedrake from the North.,1
63,"00:05:41,132","00:05:42,716",[BOTH GRUNT],0
64,"00:05:42,884","00:05:46,261",Smaug had come.,1
65,"00:05:51,517","00:05:53,477",[PEOPLE SCREAMING],0
66,"00:05:55,980","00:05:59,983",[HORNS BELLOWING],0
67,"00:06:05,990","00:06:07,366",[SMAUG ROARS],0
68,"00:06:07,533","00:06:09,659",[PEOPLE SCREAMING],0
69,"00:06:13,915","00:06:36,144",Such wanton death was dealt that day.For this city of Men was nothing to Smaug.His eye was set on another prize.For dragons covet gold with a dark and fierce desire.,1
73,"00:06:42,777","00:06:44,111",[SHOUTS IN DWARVISH],0
74,"00:07:04,424","00:07:05,465",Aah!,0
75,"00:07:08,177","00:07:10,345",No!,0
76,"00:07:14,225","00:07:15,517",[SMAUG ROARING],0
77,"00:07:15,726","00:07:17,060",THORIN: Come on.,0
78,"00:07:18,396","00:07:30,991",Erebor was lost.For a dragon will guard his plunder......as long as he lives.,1
81,"00:07:40,084","00:07:41,877",THORIN: Run for your lives!,0
82,"00:07:42,044","00:07:44,713",Ah! Help us!,0
83,"00:07:57,226","00:08:06,526",Thranduil would not risk the lives of his kin against the wrath of the dragon.No help came from the Elves that day...,1
85,"00:08:06,861","00:08:08,236",...nor any day since.,0
86,"00:08:10,740","00:08:37,057",Robbed of their homeland......the Dwarves of Erebor wandered the wilderness......a once mighty people brought low.The young Dwarf prince took work where he could find it......laboring in the villages of Men.But always he remembered......the mountain smoke beneath the moon......the trees like torches blazing bright.,1
94,"00:08:37,225","00:08:40,560",For he had seen dragon fire in the sky...,0
95,"00:08:40,728","00:08:49,569",...and a city turned to ash.And he never forgave......and he never forgot.,1
98,"00:08:52,365","00:08:54,366",[BIRDS CHIRPING],0
99,"00:08:55,243","00:09:07,546","That, my dear Frodo, is where I come in.For, quite by chance, and the will of a Wizard......fate decided I would become part of this tale.",1
102,"00:09:08,339","00:09:09,798",lt began....,0
103,"00:09:09,966","00:09:12,217","Well, it began as you might expect.",1
104,"00:09:13,970","00:09:16,054",ln a hole in the ground...,0
105,"00:09:16,222","00:09:26,147","...there lived a Hobbit.Not a nasty, dirty, wet hole full of worms and oozy smells.",1
107,"00:09:26,315","00:09:28,483",This was a Hobbit hole.,0
108,"00:09:28,651","00:09:37,117","And that means good food, a warm hearth......and all the comforts of home.",1
110,"00:10:05,021","00:10:06,479",[CHUCKLES],0
111,"00:10:08,232","00:10:09,858",[OLD BILBO CLEARS THROAT],0
112,"00:10:11,611","00:10:13,445",Thank you.,0
113,"00:10:14,322","00:10:15,739",What's this?,0
114,"00:10:15,906","00:10:18,825",That is private. Keep your sticky paws off.,0
115,"00:10:20,369","00:10:22,412",It's not ready yet.,0
116,"00:10:22,580","00:10:24,122",Not ready for what?,0
117,"00:10:24,290","00:10:25,332",Reading.,0
118,"00:10:29,128","00:10:31,504",OLD BILBO: What on earth are these?,0
119,"00:10:32,006","00:10:33,548",FRODO: Replies to the party invitations.,0
120,"00:10:34,050","00:10:38,470",Ah. Good gracious. ls it today?,0
121,"00:10:38,638","00:10:40,013",They all say they're coming.,0
122,"00:10:40,181","00:10:44,017","Except for the Sackville-Bagginses, who are demanding you ask them in person.",0
123,"00:10:44,185","00:10:47,312","Are they, indeed? Over my dead body.",0
124,"00:10:47,480","00:10:51,232",They'd probably find that quite agreeable. They seem to think you have tunnels...,0
125,"00:10:51,400","00:10:56,029","-...overflowing with gold. -lt was one small chest, hardly overflowing.",0
126,"00:10:56,781","00:10:58,782",And it still smells of Troll.,0
127,"00:10:59,492","00:11:00,867",What on earth are you doing?,0
128,"00:11:01,035","00:11:02,869",[OLD BILBO MUTTERS INDISTINCTLY],0
129,"00:11:04,080","00:11:06,039",Taking precautions.,0
130,"00:11:06,332","00:11:09,042","You know, I caught her making off with the silverware once.",0
131,"00:11:09,210","00:11:13,129",-Who? -Lobelia Sackville-Baggins.,0
132,"00:11:13,547","00:11:17,008",She had all my spoons stuffed in her pocket. Ha!,0
133,"00:11:17,176","00:11:18,385",Dreadful woman.,0
134,"00:11:18,552","00:11:22,055",Make sure you keep an eye on her after I'm....,0
135,"00:11:22,973","00:11:25,517",When I'm.... When I'm....,0
136,"00:11:25,726","00:11:27,977",When you're what?,0
137,"00:11:31,649","00:11:34,984",It's nothing. Nothing.,0
138,"00:11:39,615","00:11:42,742","You know, some people are beginning to wonder about you, Uncle.",0
139,"00:11:42,910","00:11:45,578",-Huh? -They think you're becoming odd.,0
140,"00:11:45,746","00:11:48,289",Odd? Oh. Hm.,0
141,"00:11:48,499","00:11:49,791",Unsociable.,0
142,"00:11:49,959","00:11:52,877","Unsociable, me? Nonsense.",0
143,"00:11:53,045","00:11:55,505",Be a good lad and put that on the gate.,0
144,"00:12:05,266","00:12:07,726",-Do you think he'll come? -Who?,0
145,"00:12:08,185","00:12:09,227",Gandalf.,0
146,"00:12:09,395","00:12:12,814",Oh-ho. He wouldn't miss a chance to let off his Whizpoppers.,0
147,"00:12:12,982","00:12:15,108","He'll give us quite a show, you'll see.",0
148,"00:12:15,276","00:12:17,402","FRODO: Right, then. I'm off. -Off to where?",0
149,"00:12:17,570","00:12:19,738",FRODO: East-farthing Woods. I'm going to surprise him.,0
150,"00:12:19,905","00:12:24,200","OLD BILBO: Well, go on, then. You don't want to be late.",0
151,"00:12:27,872","00:12:31,541","He doesn't approve of being late. Oh, no.",0
152,"00:12:31,709","00:12:33,960",Not that I ever was.,0
153,"00:12:34,128","00:12:37,088","In those days, I was always on time.",0
154,"00:12:37,798","00:12:40,675",I was entirely respectable.,0
155,"00:12:41,886","00:12:44,512",And nothing unexpected...,0
156,"00:12:46,098","00:12:48,141",...ever happened.,0
157,"00:13:01,447","00:13:02,822",[GASPS],0
158,"00:13:11,999","00:13:14,334",-Good morning. GANDALF: What do you mean?,0
159,"00:13:14,794","00:13:16,461",Do you wish me a good morning...,0
160,"00:13:16,629","00:13:19,881",...or do you mean that it is a good morning whether I want it or not?,1
161,"00:13:20,549","00:13:25,136",Or perhaps you mean to say that you feel good on this particular morning?,0
162,"00:13:25,805","00:13:29,766",Or are you simply stating that this is a morning to be good on? Hm?,0
163,"00:13:31,143","00:13:33,186","All of them at once, I suppose.",0
164,"00:13:34,396","00:13:35,897",GANDALF: Hmm.,0
165,"00:13:39,944","00:13:41,027",Can I help you?,0
166,"00:13:41,278","00:13:44,280",That remains to be seen.,0
167,"00:13:45,199","00:13:49,410",I'm looking for someone to share in an adventure.,0
168,"00:13:52,540","00:13:54,249",An adventure?,0
169,"00:13:55,960","00:14:01,631","No, I don't imagine anyone west of Bree would have much interest in adventures.",0
170,"00:14:01,799","00:14:05,885","Nasty, disturbing, uncomfortable things.",0
171,"00:14:06,637","00:14:09,013","Make you late for dinner. Heh, heh.",0
172,"00:14:09,181","00:14:11,766",Mm. Huh.,0
173,"00:14:12,309","00:14:13,935",Hmm.,0
174,"00:14:14,937","00:14:17,105",Oh. Ah.,0
175,"00:14:17,273","00:14:18,439",Good morning.,1
176,"00:14:18,607","00:14:21,526","To think that I should have lived to be ""good morninged""...",0
177,"00:14:21,694","00:14:26,698",...by Belladonna Took's son as if I were selling buttons at the door.,0
178,"00:14:26,866","00:14:28,366",Beg your pardon?,0
179,"00:14:28,534","00:14:32,203","You've changed, and not entirely for the better, Bilbo Baggins.",0
180,"00:14:32,371","00:14:33,538","I'm sorry, do I know you?",0
181,"00:14:33,706","00:14:36,791","Well, you know my name, although you don't remember I belong to it.",0
182,"00:14:36,959","00:14:38,585",I'm Gandalf.,0
183,"00:14:38,752","00:14:40,962",And Gandalf means...,0
184,"00:14:42,965","00:14:44,299",...me.,0
185,"00:14:44,675","00:14:46,676",Gandalf? Not Gandalf the wandering Wizard...,0
186,"00:14:46,844","00:14:48,887",...who made such excellent fireworks?,0
187,"00:14:49,054","00:14:52,891","Old Took used to have them on Midsummer's Eve. Heh, heh. Ahem.",0
188,"00:14:53,434","00:14:55,184",No idea you were still in business.,0
189,"00:14:56,312","00:14:57,812",And where else should I be?,0
190,"00:14:57,980","00:15:00,732",Where else--? Ahem.,0
191,"00:15:02,693","00:15:06,446","Well, I'm pleased to find you remember something about me...",0
